,0,1
194,[ 1.07703916e+01  1.06658493e+02 -7.85402625e-05  3.45194664e-05],[ 1.07701413e+01  1.06658431e+02 -1.49309802e-04 -4.56124165e-04]
195,[1.07702021e+01 1.06658654e+02 6.60150086e-05 1.40810879e-04],[ 1.07700236e+01  1.06658482e+02  2.41802666e-04 -3.43570428e-04]
196,[ 1.07699841e+01  1.06658480e+02  4.70750834e-02 -8.36697239e-01],[ 1.07702072e+01  1.06658431e+02  4.71627987e-02 -8.37179811e-01]
197,[ 1.07699671e+01  1.06658426e+02  4.69401894e-02 -8.36458991e-01],[ 1.07699462e+01  1.06658152e+02  4.68990698e-02 -8.36641148e-01]
198,[1.07704700e+01 1.06658227e+02 3.71465843e+00 4.09009971e-05],[1.07706645e+01 1.06657535e+02 3.71464398e+00 4.29468854e-05]
199,[ 10.76995384 106.65832271   1.94645385  -3.00660002],[ 10.76987361 106.65819652   1.94650199  -3.00646276]
200,[1.07690983e+01 1.06658569e+02 1.17918193e-02 1.85858049e+00],[1.07687900e+01 1.06658856e+02 1.14832490e-02 1.85839532e+00]
201,[ 10.76859943 106.65862969   0.66635183  -6.1891764 ],[ 10.76857696 106.65862113   0.66632268  -6.18911501]
202,[ 10.76788793 106.65894476  -7.96550165   0.68473717],[ 10.7677285  106.65937362  -7.9656772    0.68419504]
203,[ 10.76761884 106.65884224   6.60614621   6.46139816],[ 10.76780643 106.65876578   6.60631469   6.46149524]
204,[ 10.76702284 106.65932555  -0.60941578 -12.21581343],[ 10.76672776 106.65962991  -0.60978523 -12.21559503]
205,[ 10.76639751 106.65944577  -5.091543   -10.26972104],[ 10.76701115 106.65978862  -5.09153549 -10.26972172]
206,[ 10.76629948 106.65932905   5.24663696  -6.71770368],[ 10.76598925 106.65903981   5.24660262  -6.71807224]
207,[ 10.76605607 106.65939535  -5.3442095    3.38798136],[ 10.76617214 106.6596388   -5.34438364   3.38810843]
208,[ 10.76582342 106.65960027  -2.65664143  -6.40820088],[ 10.7656365  106.65942053  -2.65689993  -6.40821412]
209,[ 10.76583822 106.65941752  -0.8348293    6.98718211],[ 10.76577103 106.65954377  -0.83490296   6.98725607]
210,[ 10.76543964 106.65956846   5.11110182   3.74944959],[ 10.76577795 106.65917507   5.11115796   3.74995793]
211,[ 10.76526202 106.65959316  -4.40771999  -4.47858568],[ 10.76502444 106.66005736  -4.40766199  -4.47862873]
212,[ 10.76484743 106.65976238  -5.87230881   1.26532046],[ 10.76425258 106.65948983  -5.87262699   1.26474994]
213,[ 1.07645512e+01  1.06659693e+02 -4.04316005e-02  5.53115617e+00],[ 1.07648415e+01  1.06659870e+02 -4.06237673e-02  5.53101125e+00]
214,[ 10.76444159 106.65988892   0.4193029    2.01015637],[ 10.76401802 106.65980091   0.41943      2.01003314]
215,[ 1.07643243e+01  1.06659988e+02 -7.83445734e-05  3.08857602e-05],[ 1.07645899e+01  1.06659498e+02 -4.25762290e-04  1.86770214e-05]
216,[1.07643804e+01 1.06659911e+02 8.23419243e-05 2.31239879e-05],[ 1.07642713e+01  1.06659853e+02  7.17990236e-04 -9.69454011e-05]
217,[1.07643736e+01 1.06659760e+02 2.51192454e-05 4.01708320e-05],[1.07640983e+01 1.06659637e+02 2.83824462e-04 7.22834068e-05]
218,[ 10.76421425 106.65983917  -1.74722133  -1.60480403],[ 10.76433101 106.65946766  -1.74687345  -1.60503099]
219,[ 10.76435739 106.66000654   1.45324942  -1.20789088],[ 10.76448042 106.66003875   1.45308427  -1.20812097]
220,[ 10.76404099 106.65997613  -1.1917985   -1.18934216],[ 10.76376339 106.66009592  -1.19178463  -1.18996047]
221,[ 10.76399747 106.66015675  -0.85403599   1.89464099],[ 10.76389439 106.66042044  -0.85382549   1.89438789]
222,[ 10.76398241 106.66011661   1.8325724   -1.45233731],[ 10.76378227 106.65994591   1.8321306   -1.45273523]
223,[ 10.76361381 106.66014492  -4.4845914    0.67873014],[ 10.76369657 106.66053854  -4.48441759   0.67911278]
224,[ 10.76356518 106.66000212  -0.4640199    5.10381198],[ 10.76335191 106.66013716  -0.4639896    5.10389649]
225,[ 10.76330516 106.65992859  -1.96848273   2.21616209],[ 10.76341124 106.66045635  -1.96804367   2.21643004]
226,[ 10.76331395 106.66016547   0.99493147  -0.68613562],[ 10.76332451 106.66010351   0.9944613   -0.68592341]
227,[ 10.76319826 106.66009294  -1.08171806  -1.16247253],[ 10.76306924 106.65968644  -1.08175997  -1.16240414]
228,[ 10.76328218 106.66045413   0.49096681  -1.7149851 ],[ 10.76286545 106.66003521   0.49126563  -1.7151575 ]
229,[ 10.76295459 106.66034207  -2.05544197   0.65997211],[ 10.76271455 106.66004925  -2.05534155   0.66009786]
230,[ 10.76293423 106.66051269  -1.80541014  -2.96014244],[ 10.76314053 106.66048188  -1.80537734  -2.96058018]
231,[ 10.76273029 106.66043151  -4.20138893   3.82198067],[ 10.76275499 106.66044008  -4.20183999   3.82157871]
